"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Antigua and Barbuda","ATG","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","1.15087","1.02017","","1.03884","0.84152","","","","","","","","","","","","","","0.94723","","","","","","","","","","","","","","","0.96961","0.95169","0.97593","0.95662","0.95241","1.0262","","0.96208","0.97677","","","",
"Australia","AUS","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.00053","0.99651","0.99576","0.99755","1.0199","","","","","","","","","","","","","","","","","","0.92526","0.92498","","",
"Austria","AUT","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.93563","","","","","0.92504","","","","","0.92548","0.93509","0.9302","0.93042","0.94636","0.93174","0.92639","0.93177","0.94402","0.94059","0.94696","0.94659","0.95144","0.95534","0.95584","0.96054","0.96565","0.96128","0.96695","0.96969","0.96958","0.96443","0.96342","0.96304","0.96625","0.96986","0.9688","0.96554","0.96514","0.96865","0.97008","0.97176","0.97343","0.97294","0.97333","0.97199","","",
"Azerbaijan","AZE","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.99663","0.9839","0.96126","0.939","1.05991","1.06005","1.03029","","","","","","","","","","","","","","","","","","","0.98345","1.01253","",
"Burundi","BDI","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.47031","0.48347","0.54137","0.56635","0.57472","0.59381","0.60978","0.60465","0.61743","0.61908","0.61995","0.60625","0.61483","0.63428","0.65855","0.6805","0.71118","0.75333","0.7696","0.77789","0.80659","0.78899","0.79101","","","","","","","","","","0.78355","0.80082","0.81616","0.85834","0.86892","","0.89156","0.90326","0.91821","0.9305","0.94201","0.96531","0.97921","0.99158","1.00233","",
"Belgium","BEL","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.98398","0.98195","0.99652","0.99071","0.99508","0.99613","1.00327","1.00642","1.00971","1.01231","1.01567","1.01364","1.02303","1.01727","1.01886","1.01291","1.01402","1.01364","1.01452","1.01689","1.0193","1.0171","1.03747","1.03794","1.04532","1.04336","","","1.04176","1.05728","1.06342","1.06831","1.05752","1.05655","1.06992","1.07475","1.07981","1.08786","1.08961","1.08339","1.0819","1.08251","1.08219","1.07985","1.08055","1.06966","","",
"Benin","BEN","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.44565","","0.45456","0.44636","0.4453","","0.43979","","","","","","","","0.47897","0.48229","0.48683","","","","","","","","","","","","0.61462","0.63333","0.64629","0.66145","0.67315","0.69451","","","","","","","0.80969","","0.83489","0.84789","0.85927","0.87708","","",
"Burkina Faso","BFA","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.5683","0.57884","0.58563","0.58964","0.59562","0.58956","0.57704","","0.58689","0.60068","0.58929","0.59247","0.58844","0.58849","0.59104","0.58922","","","","","","","","0.63895","","","","","0.68411","0.70023","0.71276","","0.73722","0.7666","0.78233","0.79949","0.81793","0.83998","0.85607","0.87711","0.89341","0.91462","0.93689","0.94829","0.96035","0.97131","0.98214","",
"Bangladesh","BGD","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","0.49383","","","0.48997","0.519","","0.51381","0.52865","0.56913","","","0.61619","0.60781","0.62878","0.62473","0.71792","0.7274","0.7544","","","","","","","","","","","","","","","1.05402","1.0565","1.06504","1.08614","1.06029","1.08659","","","","","","","1.11763","",
"Bulgaria","BGR","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.98685","0.99235","0.99405","0.99637","1.00067","0.98423","0.99662","0.98659","0.98536","0.98447","0.9932","0.99604","0.99583","0.99686","0.99571","0.99559","0.99312","0.99372","0.99031","0.99171","0.99453","0.99552","0.99296","0.99758","0.99487","0.98825","0.99003","0.98128","0.979129999999999","0.97703","0.9774","0.97856","0.97867","0.96921","0.96824","0.96931","0.96936","0.97734","0.97684","0.9705","0.96646","0.96965","0.96686","0.97439","0.97523","0.97609","","",
"Bahrain","BHR","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.7295","0.77082","0.78859","0.80638","0.81621","0.82838","0.83788","0.84436","0.84165","0.84932","0.85265","0.86176","0.90899","0.9381","0.96749","0.98911","0.995059999999999","0.99924","1.01014","1.02782","1.02437","1.03643","1.0396","1.0372","1.02307","1.01892","1.0252","1.02466","1.02463","1.02975","1.05334","1.06588","1.07104","1.06943","1.06916","1.07211","","","","","0.99866","1.0143","1.01669","1.0122","1.00448","1.01494","1.00572","",
"Bahamas, The","BHS","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","1.08531","1.07535","","1.07549","1.07193","","","","","","1.01494","1.01814","","1.00172","","1.10876","","0.97461","","","1.01692","","0.98794","0.99022","0.99577","1.00822","1.0051","1.02373","1.03574","","","","","","1.05648","","",
"Bosnia and Herzegovina","BIH","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.01005","","","","","","","","","","0.97722","0.97642","0.97736","0.97749","0.97669","0.98473","0.9895","0.99177","0.99146","0.98927","",
"Belize","BLZ","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0.97501","0.972","","","","0.98299","","","0.97016","0.97893","","","","0.99518","0.98496","0.99016","","0.99772","1.00266","0.98331","0.9937","1.00601","0.99914","1.00013","1.00385","0.99661","0.9894","0.98838","0.9886","0.98033","0.97601","0.99","",
"Bermuda","BMU","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","1.06368","1.04938","1.0226","1.02667","1.01388","1.00645","1.01037","1.01511","0.98017","0.97702","","","","","","","","","","","","","","","","","","","","","1.04018","1.06165","1.07989","1.109","1.08921","1.08173","","","","","1.07268","1.06032","1.06518","1.05033","1.04459","","","",
"Bolivia","BOL","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.75371","","","","","","","","","","","","","","","","","","","","","","","","","","","0.95276","0.95601","0.95346","0.95575","0.95796","0.96165","0.9649","0.96978","0.97442","0.97843","0.98013","0.98234","0.98307","0.98568","0.98562","0.98113","0.97892","0.97742","0.97838","0.97537","",
"Brazil","BRA","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.01296","1.03545","1.03353","1.02885","","1.04399","1.03873","1.04416","","1.02593","1.02894","1.02651","1.03266","1.01545","1.01698","","",
"Barbados","BRB","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.99236","1.00367","1.00585","0.90586","0.96714","1.05297","1.0461","1.032","1.03291","1.06768","1.00111","1.01762","0.98456","1.01747","0.9904","","","","1.03473","0.95099","","","","","","","","","1.01564","1.00691","0.9956","0.9954","0.99448","0.99213","0.99309","1.00032","1.00936","1.01275","1.0118","1.01153","1.01788","","","1.01884","1.01871","1.02982","1.01079","",
"Brunei Darussalam","BRN","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","0.9352","0.92849","0.93549","0.94253","0.94471","0.9499","0.96803","0.9878","0.99481","1.00148","0.98894","1.00075","1.00509","1.00635","1.00107","","","","","","","0.99861","1.01378","1.01652","1.00386","","","","0.98503","0.98125","0.98201","0.97731","0.97287","0.97854","0.97253","0.97226","0.9787","0.98426","0.98979","0.99483","1.00104","0.99445","1.00217","1.00867","0.99842","0.998889999999999","1.00288","1.00436","",
"Bhutan","BTN","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","0.05275","0.22926","0.20676","","0.2873","","","0.37336","","","","","","0.45037","0.46347","","","","","","","","","","","","","","0.81982","0.83688","0.85694","0.88108","","","","0.94677","0.96388","0.97366","0.99106","1.01426","1.02276","1.02797","1.03501","1.03731","1.04032","1.03412","1.04422","1.04383","",
"Botswana","BWA","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","1.10671","1.11999","1.13277","1.1618","1.1863","1.20769","1.22024","1.22752","1.22367","1.22366","1.20526","1.18566","","1.15182","1.12761","1.11038","1.08346","1.07184","1.06984","1.07051","1.0803","1.08751","1.07522","1.05799","1.04193","1.03534","","","1.02371","1.02178","1.02029","1.01376","1.01161","1.01126","1.00343","0.99985","1.00346","1.00007","1.01048","","","","","","","","","","",
"Central African Republic","CAF","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.4604","0.46103","0.46866","","","0.513","0.50237","0.49947","0.50785","0.54449","0.53412","0.52568","","","","0.58199","0.57482","0.57169","0.58041","0.59096","0.6054","0.61965","","","","","","","","","0.65898","","","","","","","","0.68632","","0.69377","0.70143","","","","0.74569","","",
"Canada","CAN","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.99025","0.99156","0.99394","1.001","0.99942","1.00742","1.00816","1.00973","1.01038","1.01287","1.01176","0.9988","0.98843","0.98759","0.98882","0.9894","0.99029","0.99191","0.99287","1.00028","0.99441","0.99232","0.99004","0.99019","0.99365","0.99378","","0.99641","1.00937","1.01051","","","","","0.98425","0.98582","0.98588","0.98624","0.98785","0.98939","0.99207","1.00342","1.00608","1.00823","1.00807","1.00787","","",
"Central Europe and the Baltics","CEB","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","0.98481","0.98555","0.98755","0.99117","0.98989","0.99205","0.9919","0.99381","0.99347","0.994","0.9941","0.99576","0.998","0.99847","0.99756","0.99881","1.00005","1.00777","1.00861","0.99632","0.99425","1.00131","1.01124","1.00384","1.00578","1.01057","1.00785","1.0019","1.00135","0.99986","0.99737","0.99619","0.99419","0.9912","1.00145","0.99746","0.99571","0.9953","0.9954","0.99629","0.99423","0.99161","0.9925","0.98847","0.98963","0.99321","0.99418","0.99432","",
"Switzerland","CHE","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","0.92879","0.9374","0.94134","0.94246","0.94354","0.94518","0.94535","0.94722","0.94888","0.95377","0.95758","0.96337","0.96543","0.96979","0.97236","0.95556","0.96098","0.96367","0.96805","","0.95624","0.96087","0.9672","0.97472","0.97176","0.96994","0.96469","0.96693","0.9673","0.96974","0.97218","0.97519","0.98152","0.98377","0.98317","0.98531","","0.97934","0.97613","","",
"Channel Islands","CHI","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","1.01711","1.0076","1.00561","1.01113","1.0154","1.01217","1.02163","1.01453","1.01223","1.01475","1.01217","1.01823","0.99645","1.00231","0.99968","1.00315","1.00093","","","1.00718","1.01042","0.99652","0.99991","1.00889","","","","","0.99905","0.9988","0.99503","","0.99424","0.99219","0.9816","0.98229","0.98637","0.986789999999999","0.98601","0.98909","1.00095","1.00001","1.00264","0.99214","0.99203","0.9911","0.99206","","",
"China","CHN","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","0.82099","0.82608","0.83048","0.8182","0.81198","0.79498","0.78107","0.77762","0.78162","0.78735","0.80862","0.82645","0.83313","0.842639999999999","0.84856","0.86037","0.87417","0.88127","0.90197","0.9157","0.92874","0.93604","","","","0.96569","","0.96602","","","0.98933","0.9927","0.99811","1.0046","0.99035","0.99403","0.99883","1.00781","1.01124","1.01338","1.01194","1.01504","",
"Cote d'Ivoire","CIV","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.53377","0.54183","0.54908","0.55403","","","","","","","0.62257","","0.63532","0.64501","","","","","","","","","","","","","","","0.69288","","","","","","","","","","","","","","","0.81657","0.82503","0.83806","0.85298","",
"Cameroon","CMR","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.71013","0.73044","0.73797","0.74888","0.7515","0.76253","0.7703","0.77387","0.78423","0.78932","0.78898","0.79394","0.79331","0.79664","0.79748","0.80351","0.80968","0.81367","0.81669","0.82109","0.82784","0.87079","","","0.84699","","0.85468","0.80691","0.8274","","0.85522","0.80243","0.850299999999999","0.84338","0.82878","0.8304","0.84029","0.84489","0.85854","","0.86355","0.8712","","0.87856","0.88486","0.8869","","",
"Congo, Dem. Rep.","COD","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.55323","0.5749","0.5907","0.61875","0.60875","0.61299","0.62089","0.61912","0.62154","0.63332","0.64552","0.65493","0.66795","0.68161","0.6034","0.60613","0.70488","0.67914","","","","0.69847","0.70658","0.67292","0.6702","","","","","","","","","","","","0.73986","0.76395","0.77433","0.78781","0.78898","0.80111","0.82777","0.82886","0.88949","","","",
"Congo, Rep.","COG","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.73896","0.75963","0.7743","0.76982","0.7843","0.79353","0.80249","0.82528","0.8315","0.83819","0.85962","0.86164","","0.86671","0.88897","0.89666","0.87526","0.91123","0.89797","0.88704","","0.8877","","","","0.8789","","","","","","0.8853","0.85986","0.90967","","","","","","","","1.00181","","","","","","",
"Colombia","COL","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","1.02697","1.03097","1.03529","1.03813","1.04481","1.04203","1.03998","1.03753","1.03946","1.03775","1.03276","1.03508","1.03075","1.06563","1.01767","1.0297","1.03103","1.01892","1.01963","1.02029","","1.07579","1.10473","1.0722","","1.05305","1.01735","","1.02821","1.04348","1.03794","","1.03672","","1.03858","1.03482","1.04254","1.04631","1.04366","1.04635","1.03843","1.02694","1.02675","1.02698","1.02277","1.01945","1.01756","1.01149","",
"Comoros","COM","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.45745","","0.4976","","","","","","","","0.68023","","","","","0.73169","0.76574","","","","","","","","","","","","0.8448","","","0.82888","0.82689","0.84807","","","","","","","","","0.97533","0.9798","","","0.99315","",
"Cabo Verde","CPV","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.96411","0.98358","0.99243","0.99489","","","","0.97917","","","","","","","1.00887","1.00326","1.01243","1.01641","1.02341","1.04979","1.0543","1.01876","1.04143","1.0438","1.03637","1.03658","1.02589","1.01586","1.01074","1.00733","1.00593","",
"Costa Rica","CRI","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","0.99958","1.0033","1.00955","1.01459","1.00884","1.01299","1.01507","1.01787","","1.0168","1.0185","1.00998","1.01","1.00484","0.99554","0.99705","0.99214","0.99047","0.99053","0.98831","0.99469","1.00054","1.00122","1.00668","1.00745","1.00986","1.014","1.013","1.00927","1.0059","1.00055","1.00844","0.99927","","1.00097","1.00062","1.00517","1.00236","1.00674","1.00807","1.00734","1.00837","1.00998","1.02127","1.02203","1.01673","1.02933","","",
"Caribbean small states","CSS","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","1.00944","1.01115","1.01578","1.01696","1.01467","1.02994","1.04155","1.02919","1.0304","1.03033","1.03942","1.0404","1.03459","1.03319","1.03097","1.03237","1.03839","1.02116","1.02539","1.03021","1.02826","1.02033","1.01448","1.00969","1.01247","1.01251","1.0171","1.01793","1.0123","1.01151","1.01139","1.00959","1.02107","1.01901","1.01771","1.021","1.0232","1.02358","1.02211","1.01335","1.02676","1.03044","1.03235","1.02464","1.02854","1.0416","1.02379","1.02534","",
"Cuba","CUB","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","0.98659","0.97894","0.9744","0.97","","","0.98522","0.99384","0.98892","0.99315","0.99634","1.00465","0.99444","0.99285","1.00176","1.00278","1.01357","1.03314","1.04739","1.0612","1.07063","1.05446","1.04078","1.041","0.99423","1.01605","","0.99502","0.98857","0.99349","0.97201","0.97131","0.98926","0.99382","0.99957","0.99345","0.99414","0.99576","0.99465","0.99598","1.0036","0.99869","0.9891","0.99124","0.99666","0.9895","",
"Curacao","CUW","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.00234","","","","","",
"Cayman Islands","CYM","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.96163","0.968","0.97428","0.9798","0.96351","0.97467","0.97904","0.99003","0.99885","1.01186","1.0107","1.02259","1.02552","1.02096","1.01942","1.0141","1.01759","1.01157","1.00878","1.01096","1.01182","1.01303","1.00918","1.00581","1.00364","1.0073","1.01171","","1.01296","1.01198","1.00584","1.01154","1.01033","1.01149","1.00908","1.00742","1.00612","1.00065","1.00186","1.00617","1.00435","1.00855","1.0033","1.00446","0.99619","","","",
"Czech Republic","CZE","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","1.03034","1.02995","1.02988","1.03009","1.03027","1.03063","1.03045","1.03065","1.03159","","","1.04685","1.04665","1.02848","1.02766","1.02707","1.10227","1.10461","0.96519","0.94171","0.98152","1.0798","1.05036","1.00964","1.0211","1.02159","1.02152","1.02836","1.02323","1.01072","1.01728","1.01431","1.01259","1.00547","1.00722","1.0088","1.00705","1.00632","1.00643","1.00232","0.99925","1.00091","1.00473","1.00299","1.00716","1.00718","","",
"Germany","DEU","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.98364","0.97016","0.97358","0.97437","0.97604","0.97859","0.97808","0.98091","0.98453","0.98538","0.98428","0.98222","0.98259","0.98251","0.98018","0.98219","0.98018","0.96248","0.96348","0.96235","0.96336","0.96588","0.96575","0.96513","0.96083","","",
"Djibouti","DJI","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.42148","","0.49439","0.5267","0.54412","0.51883","","","","","","0.7147","0.72223","0.71834","0.71022","0.7052","0.71461","0.72321","0.72494","","","0.71479","0.77697","0.76689","0.75572","0.74704","0.73816","","0.71782","0.71398","0.71128","0.7202","","0.75874","0.762599999999999","0.76483","0.80112","0.80654","0.82387","","0.85888","0.83738","0.82627","0.84121","0.84511","0.85291","0.86261","",
"Dominica","DMA","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","1.07278","1.12742","1.12512","1.09283","1.14147","1.12491","1.13074","","","","","","","1.07085","1.06485","","","1.01849","","","","","","","","","1.12783","1.05666","1.04259","1.04902","1.05679","1.03692","1.03508","1.02437","1.0199","1.00315","1.03591","1.02972","1.02636","","","0.99159","0.98205","","","",
"Denmark","DNK","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","0.99062","0.99062","0.9879","0.99631","0.99886","0.99496","0.99543","0.99805","1.00084","1.00271","1.00596","1.00642","1.01413","1.00848","1.00922","1.01381","1.01496","1.01731","1.0133","","1.02339","1.0291","1.02386","1.02712","1.02657","","1.02443","1.01886","1.01807","1.01705","1.01813","1.0124","1.00576","1.00558","1.00243","1.00905","1.01683","1.01841","1.00967","","",
"Dominican Republic","DOM","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.04346","1.04742","1.04013","","1.071","","1.02679","1.03697","","1.0362","1.02969","0.96556","0.9735","0.99024","0.98801","0.98961","0.98701","0.98683","0.99181","","",
"Algeria","DZA","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.59904","0.62366","0.64049","0.64772","0.65806","0.66725","0.68089","0.69102","0.70764","0.7197","0.72934","0.73834","","0.75664","0.76737","0.78275","0.78967","0.79734","0.80853","0.81709","0.82949","0.84263","0.85443","0.8703","0.88354","0.89517","0.91832","","0.94881","0.96405","0.97379","0.97979","0.99016","0.99541","0.99878","1.00074","1.00075","0.98562","0.9784","0.99293","0.99419","","","","","","","",
